[ TIME ] [ JOB ID ]                [ EVENT TYPE ]
   5572      J21                      FINISHED
   5610      J12                      RELEASED
   5610      J12                       STARTED
   5632      J12                      FINISHED
   5644      J31                      FINISHED
   5644      J41                       STARTED
   5694      J41                      FINISHED
   5694      J51                       STARTED
   5720      J13                      RELEASED
   5720      J13                       STARTED
   5742      J13                      FINISHED
   5766      J51                      FINISHED
   5766      J61                       STARTED
   5816      J61                      FINISHED
   5830      J14                      RELEASED
   5830      J14                       STARTED
   5852      J14                      FINISHED
   5940      J15                      RELEASED
   5940      J15                       STARTED
   5962      J15                      FINISHED
   6000      J22                      RELEASED
   6000      J22                       STARTED
   6000      J32                      RELEASED
   6000      J42                      RELEASED
   6000      J62                      RELEASED
   6000      J52                      RELEASED
   6050      J22                      FINISHED
   6050      J16                      RELEASED
   6050      J16                       STARTED
   6072      J16                      FINISHED
   6072      J32                       STARTED
   6122      J32                      FINISHED
   6122      J42                       STARTED
   6160      J17                      RELEASED
   6160      J17                       STARTED
   6182      J17                      FINISHED
   6194      J42                      FINISHED
   6194      J52                       STARTED
   6244      J62                       STARTED
   6244      J52                      FINISHED
   6270      J18                      RELEASED
   6270      J18                       STARTED
   6292      J18                      FINISHED
   6316      J62                      FINISHED
   6380      J19                      RELEASED
   6380      J19                       STARTED
   6402      J19                      FINISHED
   6490      J110                      RELEASED
   6490      J110                       STARTED
   6500      J33                      RELEASED
   6500      J23                      RELEASED
   6500      J43                      RELEASED
   6500      J53                      RELEASED
   6500      J63                      RELEASED
   6512      J110                      FINISHED
   6512      J23                       STARTED
   6562      J33                       STARTED
   6562      J23                      FINISHED
   6600      J111                      RELEASED
   6600      J111                       STARTED
   6622      J111                      FINISHED
   6634      J33                      FINISHED
   6634      J43                       STARTED
   6684      J43                      FINISHED
   6684      J53                       STARTED
   6710      J112                      RELEASED
   6710      J112                       STARTED
   6732      J112                      FINISHED
   6756      J53                      FINISHED
   6756      J63                       STARTED
   6806      J63                      FINISHED
   6820      J113                      RELEASED
   6820      J113                       STARTED
   6842      J113                      FINISHED
   6930      J114                      RELEASED
   6930      J114                       STARTED
   6952      J114                      FINISHED
   7000      J24                      RELEASED
   7000      J34                      RELEASED
   7000      J44                      RELEASED
   7000      J24                       STARTED
   7000      J64                      RELEASED
   7000      J54                      RELEASED
   7040      J115                      RELEASED
   7040      J115                       STARTED
   7062      J115                      FINISHED
   7072      J24                      FINISHED
   7072      J34                       STARTED
   7122      J34                      FINISHED
   7122      J44                       STARTED
   7150      J116                      RELEASED
   7150      J116                       STARTED
   7172      J116                      FINISHED
   7194      J44                      FINISHED
   7194      J54                       STARTED
   7244      J64                       STARTED
   7244      J54                      FINISHED
   7260      J117                      RELEASED
   7260      J117                       STARTED
   7282      J117                      FINISHED
   7316      J64                      FINISHED
   7370      J118                      RELEASED
   7370      J118                       STARTED
   7392      J118                      FINISHED
   7480      J119                      RELEASED
   7480      J119                       STARTED
   7500      J35                      RELEASED
   7500      J25                      RELEASED
   7500      J45                      RELEASED
   7500      J55                      RELEASED
   7500      J65                      RELEASED
   7502      J119                      FINISHED
   7502      J25                       STARTED
   7552      J35                       STARTED
   7552      J25                      FINISHED
   7590      J120                      RELEASED
   7590      J120                       STARTED
   7612      J120                      FINISHED
   7624      J35                      FINISHED
   7624      J45                       STARTED
   7674      J45                      FINISHED
   7674      J55                       STARTED
   7700      J121                      RELEASED
   7700      J121                       STARTED
   7722      J121                      FINISHED
   7746      J55                      FINISHED
   7746      J65                       STARTED
   7796      J65                      FINISHED
   7810      J122                      RELEASED
   7810      J122                       STARTED
   7832      J122                      FINISHED
   7920      J123                      RELEASED
   7920      J123                       STARTED
   7942      J123                      FINISHED
   8000      J26                      RELEASED
   8000      J26                       STARTED
   8000      J36                      RELEASED
   8000      J46                      RELEASED
   8000      J56                      RELEASED
   8000      J66                      RELEASED
   8030      J124                      RELEASED
   8030      J124                       STARTED
   8052      J124                      FINISHED
   8072      J26                      FINISHED
   8072      J36                       STARTED
   8122      J36                      FINISHED
   8122      J46                       STARTED
   8140      J125                      RELEASED
   8140      J125                       STARTED
   8162      J125                      FINISHED
   8194      J46                      FINISHED
   8194      J56                       STARTED
   8244      J56                      FINISHED
   8244      J66                       STARTED
   8250      J126                      RELEASED
   8250      J126                       STARTED
   8272      J126                      FINISHED
   8316      J66                      FINISHED
   8360      J127                      RELEASED
   8360      J127                       STARTED
   8382      J127                      FINISHED
   8470      J128                      RELEASED
   8470      J128                       STARTED
   8492      J128                      FINISHED
   8500      J37                      RELEASED
   8500      J27                      RELEASED
   8500      J27                       STARTED
   8500      J47                      RELEASED
   8500      J57                      RELEASED
   8500      J67                      RELEASED
   8550      J37                       STARTED
   8550      J27                      FINISHED
   8580      J129                      RELEASED
   8580      J129                       STARTED
   8602      J129                      FINISHED
   8622      J37                      FINISHED
   8622      J47                       STARTED
   8672      J47                      FINISHED
   8672      J57                       STARTED
   8690      J130                      RELEASED
   8690      J130                       STARTED
   8712      J130                      FINISHED
   8744      J57                      FINISHED
   8744      J67                       STARTED
   8794      J67                      FINISHED
   8800      J131                      RELEASED
   8800      J131                       STARTED
   8822      J131                      FINISHED
   8910      J132                      RELEASED
   8910      J132                       STARTED
   8932      J132                      FINISHED
   9000      J28                      RELEASED
   9000      J28                       STARTED
   9000      J38                      RELEASED
   9000      J48                      RELEASED
   9000      J58                      RELEASED
   9000      J68                      RELEASED
   9020      J133                      RELEASED
   9020      J133                       STARTED
   9042      J133                      FINISHED
   9072      J28                      FINISHED
   9072      J38                       STARTED
   9122      J38                      FINISHED
   9122      J48                       STARTED
   9130      J134                      RELEASED
   9130      J134                       STARTED
   9152      J134                      FINISHED
   9194      J48                      FINISHED
   9194      J58                       STARTED
   9240      J135                      RELEASED
   9240      J135                       STARTED
   9262      J135                      FINISHED
   9266      J58                      FINISHED
   9266      J68                       STARTED
   9316      J68                      FINISHED
   9350      J136                      RELEASED
   9350      J136                       STARTED
   9372      J136                      FINISHED
   9460      J137                      RELEASED
   9460      J137                       STARTED
   9482      J137                      FINISHED
   9500      J39                      RELEASED
   9500      J29                      RELEASED
   9500      J29                       STARTED
   9500      J49                      RELEASED
   9500      J59                      RELEASED
   9500      J69                      RELEASED
   9550      J39                       STARTED
   9550      J29                      FINISHED
   9570      J138                      RELEASED
   9570      J138                       STARTED
   9592      J138                      FINISHED
   9622      J39                      FINISHED
   9622      J49                       STARTED
   9672      J49                      FINISHED
   9672      J59                       STARTED
   9680      J139                      RELEASED
   9680      J139                       STARTED
   9702      J139                      FINISHED
   9744      J59                      FINISHED
   9744      J69                       STARTED
   9790      J140                      RELEASED
   9790      J140                       STARTED
   9812      J140                      FINISHED
   9816      J69                      FINISHED
   9900      J141                      RELEASED
   9900      J141                       STARTED
   9922      J141                      FINISHED
  10000      J210                      RELEASED
  10000      J310                      RELEASED
  10000      J210                       STARTED
  10000      J510                      RELEASED
  10000      J410                      RELEASED
  10000      J610                      RELEASED
  10010      J142                      RELEASED
  10010      J142                       STARTED
  10032      J142                      FINISHED
  10072      J210                      FINISHED
  10072      J310                       STARTED
  10120      J143                      RELEASED
  10120      J143                       STARTED
  10142      J143                      FINISHED
  10144      J310                      FINISHED
  10144      J410                       STARTED
  10194      J510                       STARTED
  10194      J410                      FINISHED
  10230      J144                      RELEASED
  10230      J144                       STARTED
  10252      J144                      FINISHED
  10266      J510                      FINISHED
  10266      J610                       STARTED
  10316      J610                      FINISHED
  10340      J145                      RELEASED
  10340      J145                       STARTED
  10362      J145                      FINISHED
  10450      J146                      RELEASED
  10450      J146                       STARTED
  10472      J146                      FINISHED
  10500      J311                      RELEASED
  10500      J211                      RELEASED
  10500      J211                       STARTED
  10500      J411                      RELEASED
  10500      J511                      RELEASED
  10500      J611                      RELEASED
  10550      J311                       STARTED
  10550      J211                      FINISHED
  10560      J147                      RELEASED
  10560      J147                       STARTED
  10582      J147                      FINISHED
  10622      J311                      FINISHED
  10622      J411                       STARTED
  10670      J148                      RELEASED
  10670      J148                       STARTED
  10692      J148                      FINISHED
  10694      J411                      FINISHED
  10694      J511                       STARTED
  10744      J511                      FINISHED
  10744      J611                       STARTED
  10780      J149                      RELEASED
  10780      J149                       STARTED
  10802      J149                      FINISHED
  10816      J611                      FINISHED
  10890      J150                      RELEASED
  10890      J150                       STARTED
  10912      J150                      FINISHED
  11000      J11                      RELEASED
  11000      J11                       STARTED
  11000      J31                      RELEASED
  11000      J21                      RELEASED
  11000      J41                      RELEASED
  11000      J51                      RELEASED
  11000      J61                      RELEASED
  11022      J11                      FINISHED
  11022      J21                       STARTED
  11072      J31                       STARTED
  11072      J21                      FINISHED
  11110      J12                      RELEASED
  11110      J12                       STARTED
  11132      J12                      FINISHED
  11144      J31                      FINISHED
  11144      J41                       STARTED
  11194      J41                      FINISHED
