[TIME]  [JOB ID]  [EVENT TYPE]
12800   32        FINISHED
12726   127       RELEASED
12726   127       STARTED
12756   127       FINISHED
12726   127       RELEASED
12756   127       STARTED
12786   127       FINISHED
12827   128       RELEASED
12827   128       STARTED
12857   128       FINISHED
12827   128       RELEASED
12857   128       STARTED
12887   128       FINISHED
12800   33        RELEASED
12900   33        STARTED
13000   33        FINISHED
12928   129       RELEASED
12928   129       STARTED
12958   129       FINISHED
12928   129       RELEASED
12958   129       STARTED
12988   129       FINISHED
12800   33        RELEASED
13000   33        STARTED
13100   33        FINISHED
13029   130       RELEASED
13029   130       STARTED
13059   130       FINISHED
13029   130       RELEASED
13059   130       STARTED
13089   130       FINISHED
12800   33        RELEASED
13100   33        STARTED
13200   33        FINISHED
13130   131       RELEASED
13130   131       STARTED
13160   131       FINISHED
13130   131       RELEASED
13160   131       STARTED
13190   131       FINISHED
13231   132       RELEASED
13231   132       STARTED
13261   132       FINISHED
13231   132       RELEASED
13261   132       STARTED
13291   132       FINISHED
13200   34        RELEASED
13300   34        STARTED
13400   34        FINISHED
13332   133       RELEASED
13332   133       STARTED
13362   133       FINISHED
13332   133       RELEASED
13362   133       STARTED
13392   133       FINISHED
13200   34        RELEASED
13400   34        STARTED
13500   34        FINISHED
13433   134       RELEASED
13433   134       STARTED
13463   134       FINISHED
13433   134       RELEASED
13463   134       STARTED
13493   134       FINISHED
13200   34        RELEASED
13500   34        STARTED
13600   34        FINISHED
13534   135       RELEASED
13534   135       STARTED
13564   135       FINISHED
13534   135       RELEASED
13564   135       STARTED
13594   135       FINISHED
13635   136       RELEASED
13635   136       STARTED
13665   136       FINISHED
13635   136       RELEASED
13665   136       STARTED
13695   136       FINISHED
13600   35        RELEASED
13700   35        STARTED
13800   35        FINISHED
13736   137       RELEASED
13736   137       STARTED
13766   137       FINISHED
13736   137       RELEASED
13766   137       STARTED
13796   137       FINISHED
13600   35        RELEASED
13800   35        STARTED
13900   35        FINISHED
13837   138       RELEASED
13837   138       STARTED
13867   138       FINISHED
13837   138       RELEASED
13867   138       STARTED
13897   138       FINISHED
13600   35        RELEASED
13900   35        STARTED
14000   35        FINISHED
13938   139       RELEASED
13938   139       STARTED
13968   139       FINISHED
13938   139       RELEASED
13968   139       STARTED
13998   139       FINISHED
14039   140       RELEASED
14039   140       STARTED
14069   140       FINISHED
14039   140       RELEASED
14069   140       STARTED
14099   140       FINISHED
14000   36        RELEASED
14100   36        STARTED
14140   36        FINISHED
14140   141       RELEASED
14140   141       STARTED
14170   141       FINISHED
14140   141       RELEASED
14170   141       STARTED
14200   141       FINISHED
14000   36        RELEASED
14000   36        RELEASED
14240   36        STARTED
14340   36        FINISHED
14200   36        STARTED
14240   36        FINISHED
14241   142       RELEASED
14241   142       STARTED
14271   142       FINISHED
14241   142       RELEASED
14271   142       STARTED
14301   142       FINISHED
14342   143       RELEASED
14342   143       STARTED
14372   143       FINISHED
14342   143       RELEASED
14372   143       STARTED
14402   143       FINISHED
14400   37        RELEASED
14400   37        RELEASED
14442   37        STARTED
14542   37        FINISHED
14402   37        STARTED
14442   37        FINISHED
14443   144       RELEASED
14443   144       STARTED
14473   144       FINISHED
14443   144       RELEASED
14473   144       STARTED
14503   144       FINISHED
14400   37        RELEASED
14542   37        STARTED
14642   37        FINISHED
14544   145       RELEASED
14544   145       STARTED
14574   145       FINISHED
14544   145       RELEASED
14574   145       STARTED
14604   145       FINISHED
14400   37        RELEASED
14642   37        STARTED
