ECU0: LK, ECU1: CC
2150, ECU1: CC, 0
2160, ECU0: LK, 1
2160, ECU1: CC, 1
2170, ECU0: LK, 0
2170, ECU1: CC, 0
2180, ECU0: LK, 1
2180, ECU1: CC, 1
2190, ECU0: LK, 0
2190, ECU1: CC, 0
2200, ECU0: LK, 1
2200, ECU1: CC, 1
2210, ECU0: LK, 0
2210, ECU1: CC, 0
2220, ECU0: LK, 1
2220, ECU1: CC, 1
2230, ECU0: LK, 0
2230, ECU1: CC, 0
2240, ECU0: LK, 1
2240, ECU1: CC, 1
2250, ECU0: LK, 0
2250, ECU1: CC, 0
2260, ECU0: LK, 1
2260, ECU1: CC, 1
2270, ECU0: LK, 0
2270, ECU1: CC, 0
2280, ECU0: LK, 1
2280, ECU1: CC, 1
2290, ECU0: LK, 0
2290, ECU1: CC, 0
2300, ECU0: LK, 1
2300, ECU1: CC, 1
2310, ECU0: LK, 0
2310, ECU1: CC, 0
2320, ECU0: LK, 1
2320, ECU1: CC, 1
2330, ECU0: LK, 0
2330, ECU1: CC, 0
2340, ECU0: LK, 1
2340, ECU1: CC, 1
2350, ECU0: LK, 0
2350, ECU1: CC, 0
2360, ECU0: LK, 1
2360, ECU1: CC, 1
2370, ECU0: LK, 0
2370, ECU1: CC, 0
2380, ECU0: LK, 1
2380, ECU1: CC, 1
2390, ECU0: LK, 0
2390, ECU1: CC, 0
2400, ECU0: LK, 1
2400, ECU1: CC, 1
2410, ECU0: LK, 0
2410, ECU1: CC, 0
2420, ECU0: LK, 1
2420, ECU1: CC, 1
2430, ECU0: LK, 0
2430, ECU1: CC, 0
2440, ECU0: LK, 1
2440, ECU1: CC, 1
2450, ECU0: LK, 0
2450, ECU1: CC, 0
2460, ECU0: LK, 1
2460, ECU1: CC, 1
2470, ECU0: LK, 0
2470, ECU1: CC, 0
2480, ECU0: LK, 1
2480, ECU1: CC, 1
2490, ECU0: LK, 0
2490, ECU1: CC, 0
2500, ECU0: LK, 1
2500, ECU1: CC, 1
2510, ECU0: LK, 0
2510, ECU1: CC, 0
2520, ECU0: LK, 1
2520, ECU1: CC, 1
2530, ECU0: LK, 0
2530, ECU1: CC, 0
2540, ECU0: LK, 1
2540, ECU1: CC, 1
2550, ECU0: LK, 0
2550, ECU1: CC, 0
2560, ECU0: LK, 1
2560, ECU1: CC, 1
2570, ECU0: LK, 0
2570, ECU1: CC, 0
2580, ECU0: LK, 1
2580, ECU1: CC, 1
2590, ECU0: LK, 0
2590, ECU1: CC, 0
2600, ECU0: LK, 1
2600, ECU1: CC, 1
2610, ECU0: LK, 0
2610, ECU1: CC, 0
2620, ECU0: LK, 1
2620, ECU1: CC, 1
2630, ECU0: LK, 0
2630, ECU1: CC, 0
2640, ECU0: LK, 1
2640, ECU1: CC, 1
2650, ECU0: LK, 0
2650, ECU1: CC, 0
2660, ECU0: LK, 1
2660, ECU1: CC, 1
2670, ECU0: LK, 0
2670, ECU1: CC, 0
2680, ECU0: LK, 1
2680, ECU1: CC, 1
2690, ECU0: LK, 0
2690, ECU1: CC, 0
2700, ECU0: LK, 1
2700, ECU1: CC, 1
2710, ECU0: LK, 0
2710, ECU1: CC, 0
2720, ECU0: LK, 1
2720, ECU1: CC, 1
2730, ECU0: LK, 0
2730, ECU1: CC, 0
2740, ECU0: LK, 1
2740, ECU1: CC, 1
2750, ECU0: LK, 0
2750, ECU1: CC, 0
2760, ECU0: LK, 1
2760, ECU1: CC, 1
2770, ECU0: LK, 0
2770, ECU1: CC, 0
2780, ECU0: LK, 1
2780, ECU1: CC, 1
2790, ECU0: LK, 0
2790, ECU1: CC, 0
2800, ECU0: LK, 1
2800, ECU1: CC, 1
2810, ECU0: LK, 0
2810, ECU1: CC, 0
2820, ECU0: LK, 1
2820, ECU1: CC, 1
2830, ECU0: LK, 0
2830, ECU1: CC, 0
2840, ECU0: LK, 1
2840, ECU1: CC, 1
2850, ECU0: LK, 0
2850, ECU1: CC, 0
2860, ECU0: LK, 1
2860, ECU1: CC, 1
2870, ECU0: LK, 0
2870, ECU1: CC, 0
2880, ECU0: LK, 1
2880, ECU1: CC, 1
2890, ECU0: LK, 0
2890, ECU1: CC, 0
2900, ECU0: LK, 1
2900, ECU1: CC, 1
2910, ECU0: LK, 0
2910, ECU1: CC, 0
2920, ECU0: LK, 1
2920, ECU1: CC, 1
2930, ECU0: LK, 0
2930, ECU1: CC, 0
2940, ECU0: LK, 1
2940, ECU1: CC, 1
2950, ECU0: LK, 0
2950, ECU1: CC, 0
2960, ECU0: LK, 1
2960, ECU1: CC, 1
2970, ECU0: LK, 0
2970, ECU1: CC, 0
2980, ECU0: LK, 1
2980, ECU1: CC, 1
2990, ECU0: LK, 0
2990, ECU1: CC, 0
3000, ECU0: LK, 1
3000, ECU1: CC, 1
3010, ECU0: LK, 0
3010, ECU1: CC, 0
3020, ECU0: LK, 1
3020, ECU1: CC, 1
3030, ECU0: LK, 0
3030, ECU1: CC, 0
3040, ECU0: LK, 1
3040, ECU1: CC, 1
3050, ECU0: LK, 0
3050, ECU1: CC, 0
3060, ECU0: LK, 1
3060, ECU1: CC, 1
3070, ECU0: LK, 0
3070, ECU1: CC, 0
3080, ECU0: LK, 1
3080, ECU1: CC, 1
3090, ECU0: LK, 0
3090, ECU1: CC, 0
3100, ECU0: LK, 1
3100, ECU1: CC, 1
3110, ECU0: LK, 0
3110, ECU1: CC, 0
3120, ECU0: LK, 1
3120, ECU1: CC, 1
3130, ECU0: LK, 0
3130, ECU1: CC, 0
3140, ECU0: LK, 1
3140, ECU1: CC, 1
3150, ECU0: LK, 0
3150, ECU1: CC, 0
3160, ECU0: LK, 1
3160, ECU1: CC, 1
3170, ECU0: LK, 0
3170, ECU1: CC, 0
3180, ECU0: LK, 1
3180, ECU1: CC, 1
3190, ECU0: LK, 0
3190, ECU1: CC, 0
3200, ECU0: LK, 1
3200, ECU1: CC, 1
3210, ECU0: LK, 0
3210, ECU1: CC, 0
3220, ECU0: LK, 1
3220, ECU1: CC, 1
3230, ECU0: LK, 0
3230, ECU1: CC, 0
3240, ECU0: LK, 1
3240, ECU1: CC, 1
3250, ECU0: LK, 0
3250, ECU1: CC, 0
3260, ECU0: LK, 1
3260, ECU1: CC, 1
3270, ECU0: LK, 0
3270, ECU1: CC, 0
3280, ECU0: LK, 1
3280, ECU1: CC, 1
3290, ECU0: LK, 0
3290, ECU1: CC, 0
3300, ECU0: LK, 1
3300, ECU1: CC, 1
3310, ECU0: LK, 0
3310, ECU1: CC, 0
3320, ECU0: LK, 1
3320, ECU1: CC, 1
3330, ECU0: LK, 0
3330, ECU1: CC, 0
3340, ECU0: LK, 1
3340, ECU1: CC, 1
3350, ECU0: LK, 0
3350, ECU1: CC, 0
3360, ECU0: LK, 1
3360, ECU1: CC, 1
3370, ECU0: LK, 0
3370, ECU1: CC, 0
3380, ECU0: LK, 1
3380, ECU1: CC, 1
3390, ECU0: LK, 0
3390, ECU1: CC, 0
3400, ECU0: LK, 1
3400, ECU1: CC, 1
3410, ECU0: LK, 0
3410, ECU1: CC, 0
3420, ECU0: LK, 1
3420, ECU1: CC, 1
3430, ECU0: LK, 0
3430, ECU1: CC, 0
3440, ECU0: LK, 1
3440, ECU1: CC, 1
3450, ECU0: LK, 0
3450, ECU1: CC, 0
3460, ECU0: LK, 1
3460, ECU1: CC, 1
3470, ECU0: LK, 0
3470, ECU1: CC, 0
3480, ECU0: LK, 1
3480, ECU1: CC, 1
3490, ECU0: LK, 0
3490, ECU1: CC, 0
3500, ECU0: LK, 1
3500, ECU1: CC, 1
3510, ECU0: LK, 0
3510, ECU1: CC, 0
3520, ECU0: LK, 1
3520, ECU1: CC, 1
3530, ECU0: LK, 0
3530, ECU1: CC, 0
3540, ECU0: LK, 1
3540, ECU1: CC, 1
3550, ECU0: LK, 0
3550, ECU1: CC, 0
